Group,Time,WT,KO,p-value,ko/wt FC
Day 4 ECAR,53.300000000000004,[0.00514252 0.00741845 0.00466133],[0.00398516 0.00702335 0.00360138],0.06801989105433695,0.8483122261461585
Day 4 ECAR,59.866666666666674,[0.00424994 0.00423957 0.00331914],[0.00299981 0.00346249 0.00207112],0.02014328189839571,0.7226411195967171
Day 4 ECAR,66.34333333333335,[0.00195123 0.00300361 0.00149902],[0.00156485 0.00319883 0.00156787],0.8389149376124361,0.9810503124532078
Day 4 ECAR,72.82333333333334,[0.00156003 0.00278071 0.00121134],[0.00144124 0.00309269 0.00126795],0.5740560245666169,1.0449928642227346
Day 8 ATP,1.31,[0.11402412 0.09681686 0.08504485],[0.09774647 0.0858455  0.07345996],0.016351531029346816,0.8687537932522592
Day 8 ATP,7.786666666666666,[0.10600098 0.08838953 0.07934823],[0.09122837 0.0774473  0.06675469],0.007461332270644566,0.8600549535314407
Day 8 ATP,14.256666666666666,[0.10452466 0.08447691 0.07764188],[0.08989615 0.07525122 0.06870272],0.027483513003781136,0.8770141997838736
Day 8 ATP,20.823333333333334,[0.04620175 0.03873188 0.03514348],[0.04063473 0.03624856 0.03562427],0.28528404207326935,0.9369608634323364
Day 8 ATP,27.3,[0.04232896 0.03526301 0.0338961 ],[0.03834735 0.03542135 0.0354936 ],0.7006670445706359,0.9800357210955002
Day 8 ATP,33.776666666666664,[0.04507542 0.03580767 0.03644746],[0.03911821 0.03501685 0.03622362],0.33065340453210545,0.9405792859443565
Day 8 ATP,40.343333333333334,[0.23148479 0.18196451 0.20135665],[0.20330067 0.1444991  0.12915056],0.07550555725669664,0.7757737804988191
Day 8 ATP,46.82,[0.19808411 0.1650232  0.17838659],[0.16984783 0.13844825 0.11341249],0.0859928447187037,0.7787873039586342
Day 8 ATP,53.300000000000004,[0.17940987 0.15053449 0.16740204],[0.14648948 0.12918792 0.10973439],0.07346253818158757,0.7749363125982923
Day 8 ATP,59.866666666666674,[0.03657806 0.02632073 0.02773254],[0.03286898 0.02363316 0.0312386 ],0.7106779644376,0.968106016674046
Day 8 ATP,66.34333333333335,[0.03268431 0.02538303 0.02649929],[0.03020036 0.02431051 0.03082369],0.9130845800582622,1.0090806894525788
Day 8 ATP,72.82333333333334,[0.03270033 0.02465045 0.0262551 ],[0.02849411 0.02426699 0.02974436],0.8840320115822522,0.9868378861847417
Day 6 ATP,1.31,[0.09504086 0.13783481 0.09316175],[0.08643119 0.12486046 0.09113311],0.13182098171708798,0.9275768519251941
Day 6 ATP,7.786666666666666,[0.08694374 0.12811599 0.08795222],[0.0808643  0.11610112 0.08374855],0.08737583730598422,0.9264122122213673
Day 6 ATP,14.256666666666666,[0.08210907 0.12406798 0.0868059 ],[0.07935348 0.11264454 0.08247407],0.14666512915777521,0.936819334925668
Day 6 ATP,20.823333333333334,[0.03901991 0.05362456 0.03931595],[0.03699891 0.05311823 0.0418579 ],0.9974328913426812,1.0001107440154553
Day 6 ATP,27.3,[0.03651235 0.04813099 0.0381664 ],[0.03416261 0.04777252 0.03826299],0.3661669279404769,0.9787344508060961
Day 6 ATP,33.776666666666664,[0.03812147 0.04849684 0.04018837],[0.03521921 0.04778832 0.04019574],0.3036218161356268,0.9715833382052409
Day 6 ATP,40.343333333333334,[0.21562477 0.27649052 0.21937069],[0.12332185 0.23523403 0.13071544],0.045902669300264286,0.6876752803500744
Day 6 ATP,46.82,[0.19734886 0.25603032 0.19168301],[0.10839877 0.20331471 0.10341555],0.023518179895257115,0.643548846310267
Day 6 ATP,53.300000000000004,[0.18251016 0.24370355 0.17535508],[0.09998097 0.18447883 0.09634732],0.00957500413965768,0.6330233947396566
Day 6 ATP,59.866666666666674,[0.03121693 0.03601532 0.02928399],[0.02622565 0.0338079  0.02858417],0.17121788506013577,0.9181639828418137
Day 6 ATP,66.34333333333335,[0.02898701 0.03659392 0.02974351],[0.02443129 0.03420161 0.02839375],0.09944193225275269,0.9129521015149917
Day 6 ATP,72.82333333333334,[0.02848063 0.03612235 0.029559  ],[0.02438786 0.03440224 0.02896248],0.17389887976852061,0.9319322014464131
Day 4 ATP,1.31,[0.11549858 0.15270418 0.09232384],[0.08950646 0.10935844 0.11009625],0.44430780134383285,0.8569718882970359
Day 4 ATP,7.786666666666666,[0.10690987 0.14234689 0.08843954],[0.08255847 0.10175998 0.10235918],0.4029588589256967,0.8489214619983093
Day 4 ATP,14.256666666666666,[0.1032937  0.13885444 0.08662226],[0.08037066 0.09912443 0.09944399],0.39592894602357487,0.8484312605335858
Day 4 ATP,20.823333333333334,[0.04570945 0.06494246 0.04120718],[0.03739808 0.0496949  0.05273369],0.6667011345733731,0.9207658955215321
Day 4 ATP,27.3,[0.04061026 0.05633858 0.03924431],[0.03306336 0.04404154 0.04936858],0.6816255391301493,0.9286332531357825
Day 4 ATP,33.776666666666664,[0.04180012 0.05472361 0.03999518],[0.03300751 0.04296089 0.05010872],0.661910727822064,0.9235139935030271
Day 4 ATP,40.343333333333334,[0.22781557 0.29848937 0.2021564 ],[0.17077944 0.20837548 0.12460004],0.016165182932438387,0.6915328493540072
Day 4 ATP,46.82,[0.21311483 0.2750396  0.18496126],[0.14456794 0.19012189 0.11866765],0.0063572851374420185,0.6735208960446454
Day 4 ATP,53.300000000000004,[0.20382487 0.26664029 0.17383401],[0.13593589 0.1730462  0.11520154],0.01971806601116366,0.6583643969147369
Day 4 ATP,59.866666666666674,[0.03338736 0.04312294 0.0313047 ],[0.02669759 0.02989488 0.03532525],0.40241650605564183,0.8525504736768518
Day 4 ATP,66.34333333333335,[0.03156596 0.04285141 0.0298541 ],[0.02512234 0.03058402 0.03633366],0.5383471552695234,0.8826959992066349
Day 4 ATP,72.82333333333334,[0.03119895 0.04229135 0.02913736],[0.02494916 0.03036337 0.03412627],0.4697565218946722,0.8714881958140974
