gene,pmg,diapasef
APP,0.00029557289717440814,7.377105377199309e-05
APPL1,2.923070447162243e-05,4.1240026530764034e-05
APPL2,7.06259665632761e-06,6.790193763917022e-05
APRT,8.280345268701443e-05,7.995478191243224e-05
AQR,7.385106612933978e-06,1.1798423660158446e-05
ARCN1,9.579137933040413e-05,0.00010643353348399701
ARF1,0.00015499469166339966,0.000330618621772279
ARF3,0.00015499469166339966,0.000330618621772279
ARF4,4.51281065579656e-06,3.089304206315007e-05
ARF5,8.549675712388404e-06,2.9554557320562264e-05
ARFGAP2,4.183916748601906e-06,1.0315960227974025e-05
ARFGAP3,9.896729437149515e-06,1.0315960227974025e-05
ARFIP1,1.4962896111862845e-05,2.029407668202864e-05
ARGLU1,5.6498444513928304e-05,5.623252675019053e-05
ARHGAP1,3.427021112626895e-05,0.00024629969065697525
ARHGAP12,1.3978703729501988e-05,3.4607539318350025e-05
ARHGAP17,1.9210612215714987e-05,9.039960925787779e-05
ARHGAP25,3.552381425358203e-05,7.593401132435491e-05
ARHGAP30,1.9265879561531192e-06,1.1889129506335774e-05
ARHGAP4,4.077391097637675e-05,0.0001873412547759799
ARHGAP9,1.540120049297625e-05,1.542851459201876e-05
ARHGDIA,0.00031093051415566374,0.0006511521808559699
ARHGDIB,0.000697088658880412,0.00018751021307636642
ARHGEF1,2.0842012720766953e-05,0.0002498711195582488
ARHGEF2,2.244263776590746e-05,2.279436822033457e-05
ARHGEF6,2.8454693119451928e-05,2.7959794880103705e-05
ARL3,2.1565386593558565e-05,6.0826080541948846e-05
ARL6IP5,0.00024478254764969336,0.0007163649869254108
ARL8A,2.0817781813974306e-05,0.001965869879766565
ARPC1A,9.080968958674586e-06,2.1933918944874807e-05
ARPC1B,0.00030561477114851777,0.0005360784694591039
ARPC2,7.770871883718434e-05,0.0005646011066773701
ARPC3,0.00017020636109504257,0.0012974686586319118
ARPC4,0.00014950429340431,0.00011549756368490451
ARPC5,0.0002771088257465127,0.00017463296882018402
ARPC5L,4.9166517413913726e-05,0.0001356196233386948
ARPIN,3.860804532506078e-06,1.1589665484271404e-05
ARRB1,2.7828363325728798e-05,6.992251869271497e-05
ARRB2,3.729345338678161e-05,0.00012488239617598553
ARSA,1.3303129184857266e-05,0.00018751931643306828
ASAH1,0.0003166272866664754,0.0007912491991549072
ASH2L,5.1754566967341864e-06,3.7391491451485897e-06
ASPH,6.174103306842107e-06,0.00023955628814650577
ATAD3A,2.6828050464366703e-06,0.00032885584778053086
ATE1,8.74290063192381e-06,1.7798081928085987e-05
ATG3,2.2798231843801553e-05,3.711802661616204e-05
ATIC,5.5522944743531996e-05,0.00010614623154648633
ATL1,1.6846281987305293e-05,1.0691491898639134e-05
ATM,3.3021506376136824e-05,1.8201469870258788e-05
ATOX1,5.382995316802448e-06,0.00016602410645436948
ATP13A1,5.3684005618411765e-06,0.00010310388973672487
ATP1A1,0.0002285265602633251,0.0005078689877113816
ATP1B1,0.00048744995997239974,0.00014707492327804678
ATP1B3,1.657297663098789e-05,0.00013236244231076946
ATP2A2,5.4590225472203744e-05,0.0006342090133624688
ATP2B1,8.89720975153504e-05,0.0005423707096114292
ATP2B2,8.24718285368009e-05,6.90478681808003e-06
ATP2B4,5.0157455102556546e-05,8.247022143629006e-05
ATP6V0A1,8.841861903700409e-05,0.00229276777758766
ATP6V0D1,8.217981298567757e-05,0.0009388364593481347
ATP6V1A,0.00016006872786210864,0.0015367340034982263
ATP6V1B2,0.00014816948562250127,0.001949385521450838
ATP6V1C1,5.766985929624626e-05,0.00030499995534190587
ATP6V1D,2.6442724843009553e-05,0.0010436015296158149
ATP6V1E1,0.000162595808679887,0.0005031752969959028
ATP6V1F,7.576986486276253e-05,0.0003107754889678336
ATP6V1G1,7.44272277075908e-05,0.000534742096695271
ATP6V1G2,0.0001282909074070251,7.434893485542714e-06
ATP6V1H,6.414105720923948e-05,0.0007218925451147798
ATP8A1,6.0995235067305195e-06,0.00012677407369863193
ATRX,5.3358785494102825e-06,0.00015494568548247452
ATXN10,8.909003799117154e-06,2.689055101533009e-05
ATXN2L,3.793210942472238e-06,2.630527800625414e-05
B2M,0.000256548891295293,0.000520143953888169
BABAM1,1.0222230615886872e-05,5.292327452193055e-05
BAG3,2.806167865194599e-06,1.4754829782654346e-05
BAG6,2.3103336501162498e-05,6.84991178388122e-05
BAIAP2,8.993219751060119e-06,5.70602039415236e-05
BANF1,0.00015966360797886454,0.001839926760467679
BASP1,0.0021878079720486715,1.4940538259372279e-05
BAX,8.11536631922176e-05,0.00012001792648877989
BAZ1B,0.0002855988777694445,0.00011379596425019292
BCAP31,0.00022316364026283805,0.004583540099386272
BCAS2,0.00011977616274502542,5.31188146238865e-05
BCKDK,7.84442985022957e-05,0.0002257191859596793
BCL2L13,1.4229665258760388e-05,8.83469843887425e-05
BCLAF1,8.600807543043643e-05,4.294271836827984e-05
BICD2,1.5612975004787051e-06,0.00013445184474098027
BID,6.942024306537517e-05,0.00016033050303875847
BIN1,0.00040179741839390846,5.003095603061575e-05
BLOC1S1,1.0712329313093921e-05,3.325008318039554e-05
BLVRB,0.00022865162948396985,0.00029203495472711756
BMP2K,1.6626838704662022e-05,1.3296726933004102e-05
BMS1,3.2031973959636085e-06,5.980941766548517e-05
BOLA2,5.2295757344571516e-05,8.752913882264744e-05
BOP1,1.17842106771203e-05,5.332236567974008e-05
BRI3BP,1.8364357331757014e-05,0.00043144084618524975
BRIX1,3.2610343822681797e-06,6.662273395542492e-05
BRK1,8.489710742554404e-05,0.0004910496258690259
BROX,3.7306120911376606e-05,5.5767891424127625e-05
BSG,6.829120727579894e-05,0.00010454586143829942
BST2,1.3730713347058263e-05,8.130899725540087e-05
BTF3,1.1693470247374841e-06,1.7539473770899562e-05
BTF3L4,1.3267595874979066e-05,8.925986899880498e-05
BTK,1.0543254999085902e-05,6.295480947311169e-05
BUB3,2.9681957431759243e-05,2.517496882472445e-05
BZW1,1.0355751544700376e-05,7.615613322788029e-05
C1QB,1.5949236553069446e-05,0.0001305767278601327
C1QBP,0.00013211405064612354,0.0013881599394385173
C1QC,4.313001032509714e-05,0.0006472523028448932
C20orf27,9.987670620058127e-06,2.754424485337722e-05
C2CD5,1.2792192309314866e-06,1.363147556564488e-05
C3,9.711594870089202e-05,2.2023750868808756e-05
C4A,2.9281254118104526e-05,0.00011121133921540096
CA2,0.00018955834368825038,0.00011666206507420637
CAB39,2.928446616871498e-05,8.141168311899783e-05
CACYBP,5.28870155606917e-05,3.712130382457471e-05
CAD,3.066303814009122e-06,1.3042415560180954e-05
CALML5,4.088799899899698e-05,6.74416719243242e-06
CALR,0.00029709420464478666,0.003063669153842571
CALU,6.415288157054923e-05,0.0007459342674082122
CAMK2D,3.3168156561820574e-05,9.955758609994848e-05
CAMK2G,8.032776467900339e-06,2.5470536610120425e-05
CAND1,8.578664469147795e-05,0.00013431966400166928
CANX,0.00045335866006513325,0.002622604238952115
CAP1,0.0005458851907031694,0.0003555422529873696
CAPG,0.0009427368541696239,0.0011201279873943267
CAPN1,4.409380618608159e-05,0.00013341551861404058
CAPNS1,0.00011293529795740104,0.00011280224183261795
CAPRIN1,4.445759099303235e-05,0.00010023633237563912
CAPZA1,0.00045929111678948733,0.0006425039919892032
CAPZA2,0.00011906730332592983,0.0003648370472117647
CAPZB,0.00025297488273166825,0.0002803127443692671
